,Username,Content,Location,Created at
156,semenku,"#sahabatsig, @erickthohir mengajak masyarakat agar saling mengingatkan dan menjaga untuk indonesia, sehubungan dengan kasus covid-19 omicron yang terus meningkat. mari kita taati protokol kesehatan dan melakukan vaksinasi untuk kesehatan serta kekebalan tubuh kita.  #tetapwaspada",Jakarta,2022-02-04 07:29:46
157,SuryamanHerry,"webinar penanganan covid-19 varian omicron  virtual dengan tema: ""omicron, gejala dan cara penanganannya"" @halimiskandarnu  @kemendespdtt  @taufikmadjid71  @tppkemendes  @koorprovsumut  @arjuna16sp","Simalungun, Sumatera Utara",2022-02-04 07:29:37
158,cendananews,inilah gejala yang dialami pasien covid-19 varian omicron,Indonesia,2022-02-04 07:29:36
159,dilladr,"jadi klo ada yg bilang omicron lebih ringan gejalanya... no! even udah vaksin 2x ya. sembuhnya juga sekitar 7-10harian, pokoknya tergantung gejala tiap org. udah, sekarang jaga diri, sehat-sehat semuanya.",,2022-02-04 07:28:58
160,AlbertSolo2,"badan kesehatan dunia who meminta agar semua negara di dunia untuk tidak terburu-buru memulai kehidupan normal mereka, dan melepas maskernya, menurut direktur teknis badan kesehatan dunia who, dokter maria van kherkhov omicron sangat berbahaya bagi mereka yang belum vaksinasi","Surakarta, Jawa Tengah",2022-02-04 07:28:12
161,merdekadotcom,dilematis pendidikan dan kesehatan di tengah omicron,Indonesia,2022-02-04 07:28:05
162,rfldrkptr_,@plumbinq lulusan omicron apa delta?,"Kota Bogor, Jawa Barat",2022-02-04 07:27:13
163,Polresta_SMD,"dalam upaya mendukung penegakkan protokol kesehatan guna memutus mata rantai penyebaran dan penularan covid-19, maupun omicron, bhabinkamtibmas polsek sungai kunjang aipda yan hadinata bersama anggota babinsa dari koramil sungai kunjang serda mahyuni, menggelar operasi yustisi",Samarinda,2022-02-04 07:27:04
164,Menata_Laku,"presiden meminta masyarakat untuk tetap tenang atas kondisi saat ini. menurutnya, meski varian omicron memiliki tingkat penularan yang tinggi, tetapi tingkat fatalitasnya lebih rendah dibandingkan varian delta. tetap taat prokes teman teman",,2022-02-04 07:27:04
165,laras_____,omicron ini lebih kayak kalo sinus gue kambuh deh,Ruang Rindu,2022-02-04 07:25:53
166,Dinda_Annisaaa,fyi guysss taugaksih kalau varian omicron ini gabs terdeteksi kalau cuma antigen.. so guys please be safe for your self and each other yaa! lg byk bgt yg positive org2 terdekat gue🥺,,2022-02-04 07:25:42
167,aldianrevateno,"aku: de tumbas tela-tela? sing adol: yaaa, di masak sik ya yan aku: siap no, sepi men de? sing adol: la wis do melbu ng kelas iki yan sepi  aku: owalah ? (karo nunggu 5 menit)  sing adol: wis mateng, di kei varian rasa opo yan?? bbq, balado,keju?  aku: emm varian omicron de",Imajinasi ,2022-02-04 07:25:35
168,solitudescent10,mau antigen tapi katanya omicron ga kedetect kalo cuma antigen ya?  ayo sehat ihhh 🤧,,2022-02-04 07:25:35
169,kuasakatacom,"banyak siswa positif covid-19 omicron, ppp minta ptm dihentikan",Semarang - Jawa Tengah,2022-02-04 07:25:12
170,pheyizgood,"@eqbaleq sedang didiskusikan mang, karena gosipnya tidak boleh ada penonton karena meningkatnya covid omicron dan satgas lg galak 🙏🏻","ÜT: -6.9084268,107.6206058",2022-02-04 07:24:46
171,mandala_fin,kasus covid-19 saat ini sedang melonjak kembali dengan varian omicron loh #temanmandala. jangan lupa untuk jaga kesehatan biar daya tahan tubuh tetap poll!,Jakarta Capital Region,2022-02-04 07:24:26
172,anugrahrandys,"setuju pak, indonesia harus kembali bangkit #nyallakanindonesia #lanyalla #news #omicron",,2022-02-04 07:24:22
173,IndriaAyu6,varian omicron diketahui lebih menular dibandingkan varian sebelumnya termasuk delta. lantas di hari ke berapa pasien omicron paling berisiko menularkan virus?,,2022-02-04 07:24:21
174,kelapabonsai1,covid omicron ga berani pas tahun baru natal dan imlek.. beraninya pas puasa dan lebaran.. jd teraweh ga boleh nanti mudik ga boleh,,2022-02-04 07:24:20
175,brylilego,"ternyata gw sekeluarga omicron, i.... . tapi udh sembuh semua, tpi msi kaget 😀","We(s)t Jakarta, Indonesia",2022-02-04 07:24:01
176,marvercas,"@bernandota iya. direkturnya udah kasih statement, jadi human error krn hasil ketuker ceunah.  bingung yg gak rame dmn ya🥺 omicron lg tinggi2nya hiks",nomaden,2022-02-04 07:23:43
177,riaunewsmedia,siti fadilah ungkap keanehan cara pemerintah ri hadapi varian omicron covid-19,,2022-02-04 07:23:24
178,Inanewsindo,"jokowi minta masyarakat tenang, terkait 27 ribu kasus corona!  #inanews #inanewstv #jokowi #pandemic #corona #covid_19 #covid #omicron #beritaterkini #berita #kutipan #2022",Indonesia,2022-02-04 07:23:15
179,bangkemed_69,"meeting onlen bahas omicron, besok polytron, besoknya lagi megatron","Cikarang, Indonesia",2022-02-04 07:23:08
180,TyasZain,@tetepfrontal @moonfinders5 @cnnindonesia meninggal krn omicron atau krn varian lain. liat datanya di mana?,"here, there and everywhere",2022-02-04 07:23:05
181,PolsekTarokan,"cegah penyebaran varian omicron, tetap patuhi prokes, jangan panik dan tetap waspada.  kediri kota ""baik""  (beriman-amanah-inovatif-kondusif)  @divhumas_polri @humaspoldajatim @polreskotakdr  #kedirikotabaik #polripresisi #polreskedirikota",,2022-02-04 07:22:57
182,Suka2penguasa,"@oposisicerdas rakyat lagi rakyat lagi yg di salahkan sudah tahu di luar negeri omicron sedang ganas2nya malah warga negara asing di perbolehkan masuk 🤪🤪🤪 tahu aja pas mau romadhon, lebaran idul fitri, lebaran idul adha 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️",,2022-02-04 07:22:55
183,Inanewsindo,tok! pemerintah putuskan ptm 50 persen di daerah ppkm level 2  #inanews #inanewstv #ptm #covid_19 #covid #pandemic #omicron #omicronvariant #beritaterkini #berita #2022 #dailynews,Indonesia,2022-02-04 07:22:49
184,NKRIndonesia79,"@geloraco omicron tidak seperti delta, jika delta saja keok setelah 2x vaksin, mengapa omicron dibutuhkan booster??",,2022-02-04 07:22:29
185,drfm_depok,antisipasi penyebaran omicron ketua rw 05 bsi lakukan penyemprotan disinfektan,"Depok, Jawa Barat",2022-02-04 07:22:03
186,NampiNipung,sumpaaaaaah ajig covid omicron bangsut,-,2022-02-04 07:21:48
187,RILISonline,"kasus omicron naik, ketua dpd ri minta pemerintah ambil langkah konkret",Jakarta,2022-02-04 07:21:38
188,thisismyjourny,"@fwbess mari chit cht, kalo hang out omicron lagi naik daun",,2022-02-04 07:21:30
189,POLSEKPESANTRE2,"cegah penyebaran varian omicron, tetap patuhi prokes, jangan panik dan tetap waspada.  kediri kota ""baik""  (beriman-amanah-inovatif-kondusif)  @divhumas_polri @humaspoldajatim @polreskotakdr  #kedirikotabaik #polripresisi #polreskedirikota",,2022-02-04 07:21:11
190,xMrNoahx,bulan depan ada vaksin baru masuk untuk omicron. kenalah main numbers untuk bagi semangat vaksinasi. basi sudah taktik begini.,🌏,2022-02-04 07:21:00
191,RepelitaO,"viral video jokowi bagikan kaos timbulkan kerumunan di tengah ganasnya covid-19, tokoh nu: welcome omicron  lewat @repelita online",,2022-02-04 07:20:59
192,dilladr,"habis cerita panjang lebar sama tmn penyintas omicron, intinya, double masker adalah kunci. gejala tiap orang beda-beda, tmnku ini kena radang tenggorokan agak lama dibanding kawannya dia yang kena nyeri otot (radang tp ga parah ga sampai batuk2).",,2022-02-04 07:20:56
193,SManikmoyo,@musniumar antigen dah bisa lihat jenis kopet omicron? 👏👏👏👏👏👏👏👏👏👏👏,Russia,2022-02-04 07:20:43
194,OkiWaseng,"@musniumar kalau hanya test swab antigen kok bisa langsung divonis terpapar covid ? apalagi spesifik langsung ketahuan varian omicron, ada yg salah kayaknya nih. btw kalau benar terpapar, semoga lekas sembuh 🙏🏻",Indonesia,2022-02-04 07:20:34
195,ekskulsolat,"pak, buk waspada omicron!!",jauh - dekat 10rb,2022-02-04 07:20:33
196,tototonytoto,"setangkep overthinking saya yg sm sekali bukan expert, imunitas dr infeksi omicron jauh lbh rendah drpd delta, bhkn imunitas dr infeksi parah sklpun berkurang drastis dlm bbrp bulan. ini yg menyebabkan merebaknya reinfeksi omicron? 🤔",,2022-02-04 07:19:53
197,polsek_mojoroto,"cegah penyebaran varian omicron, tetap patuhi prokes, jangan panik dan tetap waspada.  kediri kota ""baik""  (beriman-amanah-inovatif-kondusif)  @divhumas_polri @humaspoldajatim @polreskotakdr  #kedirikotabaik #polripresisi #polreskedirikota","Mojoroto, Indonesia",2022-02-04 07:19:28
198,adeeva_ghaniya,"@wibowoegy13 @puanmaharani_ri iya patuh prokes yok guys, biar terbebas dari omicron ini 🙏",,2022-02-04 07:19:26
199,amrudinnejad_,"yuk merapat yuk! @tppkemendes   ""omicron, gejala dan cara penanganannya"" #tppkabpacitan",Indonesia,2022-02-04 07:19:25
200,medcom_id,siti badriah terpapar omicron saat hamil besar,"Jakarta Capital Region, Indone",2022-02-04 07:19:24
201,soignue,"ah, tapi takut deh omicron lagi marak banget",,2022-02-04 07:19:01
202,just_mywin,@radenkiansayang @qaillaasyiqah hahahaha..sdh serius baca...bener juga..omicron takut di laporkan,,2022-02-04 07:18:56
203,EkaAndela,"@plumbinq omicron kawin ama delta trus nanti anak nya pokemon, digimon",,2022-02-04 07:18:44
204,myshikigami,"@paimonfess omicron sudah sampai ke teyvat nder, jaga jarak 100m. pembawanya tabibito, lagian ngelayap mulu antar negara gak pernah swab antigen.",he`him,2022-02-04 07:18:26
205,MajalahInternet,perpanjangan pembatasan diperlukan untuk memperlambat penyebaran omicron.,Indonesia,2022-02-04 07:18:26
206,Arya_Pradana02,@kompascom terlalu bersemangat promo omicron,"Kalimantan Barat, Indonesia",2022-02-04 07:17:49
207,gestiviahakim,"udah 2 minggu skip workout, hari ini workout lagi tuk menghindari serangan omicron wkwk",Indonesia,2022-02-04 07:17:23
208,res_bna,pemasangan bener cegah omicron di polsek jajaran polres banjarnegara.  #keselamatanhukumtertinggi,"Jalan Pemuda 39, Banjarnegara",2022-02-04 07:16:38
209,Ridhasyaa,"dibalik keselnya ga bisa kemana-kemana, rencana banyak gagal, tapi patut disyukuri deh kena covidnya yang omicron bukan delta. jadi ga pake nurun-nurunin saturasi 😢",,2022-02-04 07:16:12
210,goldeneagle2707,"@khairanixrp ya soalnya benar² aneh, disaat omicron naik, mafia sedang kebanyakan bahan, bisa²nya pergi ke basis massa yg sudah pasti bakal diserbu massa.  oke kita lihat sj.  gw yakin bener, warga porsea akan selamat.",,2022-02-04 07:16:06
211,adityajuliannn,"@kiwlunaa gak jadi pengen liburan, omicron lagi rame😭","Jawa Timur, Indonesia",2022-02-04 07:15:39
212,LLABBYHOONKI,omicron gw benci banget sama lo benciiiii  lo apain keluarga gw huh,SUKA NYAMBAT KA MFF YA 😭🌷‼️,2022-02-04 07:14:50
213,OposisiCerdas,"tak perlu vaksin booster, siti fadilah bongkar kebohongan omicron di ri",,2022-02-04 07:14:39
214,MarulituaPurba5,@musniumar loe bukan omicron tolol tapi omidrun,,2022-02-04 07:14:10
215,ryulinar_,"@cnnindonesia kalo bisa jangan cuma sekolah si yg libur, beberapa tempat yg berpotensi ramai itu juga harusnya, supaya emg bener² bantu pengurangan kasus omicron, kasian anak-anak sekolah termasuk kami juga para mahasiswa harus daring terus. :)",,2022-02-04 07:14:10
216,kumparan,warga batam yang merupakan ayah dan anak itu telah dievakuasi ke rumah sakit khusus infeksi (rski) pulau galang. #publisherstory,,2022-02-04 07:14:09
217,RadioElshinta,"kasus omicron melonjak, korsel perpanjang pembatasan covid-19.","ÜT: -6.187385,106.733011",2022-02-04 07:14:03
218,bintoro_89,@markonah_003 omicron berlaku nanti mungkin kalo momen umat islam lebaran   @jokowi gitu loh bapak pencitraan,,2022-02-04 07:13:50
219,Djayeng_seno,tolong di hindari jangan sampai ketemu @musniumar yg katanya positif omicron.,Indonesia,2022-02-04 07:12:43
220,raslelembut,"@yolfgbrow6969 gada duit, gabisa liburan, omicron",,2022-02-04 07:12:34
221,Sayang_NKRI,"@firzahusainid bukan hanya ketemu, yg chat juga sama dia hrs di swab, krn omicron menular bisa lewat udara 😂",Indonesia,2022-02-04 07:12:14
222,yurikenatasha,@dr_koko28 kalo ada pejabat songong yg memberi contoh buruk soal prokes anda juga  harus berani lantang berteriak. biar ga dianggap sales omicron.,,2022-02-04 07:11:58
223,CecepLagi,"@zarazettirazr kalau sirkelnya model gini, omicron bakalan minder.",,2022-02-04 07:10:58
224,lawancovid19_id,"di antaranya, singapura, yang sedang mengalami lonjakan kasus varian omicron. pemerintah singapura mengimbau masyarakat untuk tetap mengikuti protokol kesehatan. terlebih dalam merayakan imlek. pemerintah setempat mengimbau agar dirayakan secara virtual.",Indonesia,2022-02-04 07:10:35
225,AzamAan,omicron hanya menjangkiti rakyat,Kuala Lumpur Federal Territory,2022-02-04 07:10:24
226,aafaizli,"dengan bermulanya gelombang omicron di malaysia, marilah bersama2 kita lindungi diri &amp; mereka yang tersayang.   langkah2 mitigasi sgt penting dengan mengambil sikap penjagaan kesihatan yang baik.   pakai mask, amalkan #triis dan dapatkan vaksin anda segera #pickbooster #pickids","Kuala Lumpur, Malaysia",2022-02-04 07:10:11
227,Jokokelono69,@oposisicerdas omicron hanya mengamuk di masjid..perayaan barongsai dan di klenteng jinak,"DKI Jakarta, Indonesia",2022-02-04 07:09:54
228,zahwanmr,"knp baru skrg dan pas lg omicron, dari kmrn gue msh smt muda dan angkanya agak turun kemana aja km hybrid???",CGK,2022-02-04 07:09:33
229,RENHYUCKlST,ni emang lagi pada gejala omicron kata gue,she/her,2022-02-04 07:09:25
230,kokoncoi,omicron ajg,"rant , ata 🧸🎸 she/xem ",2022-02-04 07:09:15
231,aiw_my,"@marrywhoanna trus smkin bertahan.. virus yg kmren tuh beda ama yg skrg, ga liat ni nularinnya cepet bgt,tuh berita tiap hari byak yg +.. sodorin berita yg kena omicron byk yg sdh vaksin.. dibantah lgi kl cari berita itu dr link yg bener donk.. 🤣🤣🤣🤣",,2022-02-04 07:09:07
232,kompascom,"laporcovid mengunggah perbedaan gejala varian baru virus corona, yakni omicron, dengan gejala flu biasa - #tren",Jakarta,2022-02-04 07:09:00
233,republikaonline,perpanjangan pembatasan diperlukan untuk memperlambat penyebaran omicron.,"Jakarta, Indonesia",2022-02-04 07:08:53
234,Jelajah513,omicron belom lahir si masiku dah jauh merantau.... kayak ada aroma plonga plongo nya ...,Jakarta,2022-02-04 07:08:42
235,Ranie0173,@tppkemendes siap... dan peduli omicron,,2022-02-04 07:08:36
236,pinatih88,"@__anakkolong @musniumar bukan omicron ente itu kena varian omidrun mus,,",island of the GOD,2022-02-04 07:08:08
237,HeriSuwondo2,pemerintah putuskan buka kembali rute penerbangan internasional dari &amp; ke bali mulai jumat (4/2) di tengah kenaikan kasus covid-19 di dalam negeri yg per kemarin sentuh 27 ribu ditengarai akibat penyebaran varian omicron. bagus-lah? agar pengpeng makin tajir &amp; rakyat tbh sekarat?,"Tangerang, Banten",2022-02-04 07:08:05
238,kanal247dotcom,"siti badriah ngaku tak pernah keluar rumah, kok bisa kecolongan positif omicron? #sitibadriah",,2022-02-04 07:07:04
239,bebasbaru,"si kor kor tak mandang jabatan lagi, untungnya omicron tdk seperti delta, karena sedikit sekali laporan omicron bawa kematian  menteri esdm kena korona, bahlil lahadalia jabat sementara!","Tabalong, Kalimantan Selatan",2022-02-04 07:07:02
240,polsekkdrkota1,"cegah penyebaran varian omicron, tetap patuhi prokes, jangan panik dan tetap waspada.  kediri kota ""baik""  (beriman-amanah-inovatif-kondusif)  @divhumas_polri @humaspoldajatim @polreskotakdr  #kedirikotabaik #polripresisi #polreskedirikota",,2022-02-04 07:06:55
241,officialnova_id,"disebut lebih cepat menular, apa saja fakta seputar son of omicron?  #covid19","JKT, Indonesia",2022-02-04 07:06:52
242,pikiran_rakyat,"karakteristik omicron masih dipelajari, mendagri minta publik tak perlu panik: ketatkan prokes, pakai masker","Bandung, Jawa Barat",2022-02-04 07:06:33
243,MakmurAbady,@tppkemendes sukseskannawebiner penaganan covud 19 varian omicron,Indonesia,2022-02-04 07:05:56
244,aafaizli,"dengan bermulanya gelombang omicron di malaysia, marilah bersama2 kita lindungi diri &amp; mereka yang tersayang. langkah2 mitigasi sgt penting dengan mengambil sikap penjagaan kesihatan yang baik. pakai mask, amalkan #triis dan dapatkan vaksin anda segera #pickbooster #pickids","Kuala Lumpur, Malaysia",2022-02-04 07:05:50
245,geloraco,"tak perlu vaksin booster, siti fadilah bongkar kebohongan omicron di ri",Indonesia,2022-02-04 07:05:50
246,BangJar10549303,waspada dan kenali varian omicron..,,2022-02-04 07:05:47
247,beautynesia_id,"cegah omicron, 5 buah dan sayur ini bisa bantu tingkatkan daya tahan tubuh",Jakarta Capital Region,2022-02-04 07:05:43
248,SandiKe33315189,"📹 bugar dan semangat meskipun omicrone datang , let’s get it done ! @agus  tetap bugar dan semangat meskipun omicron datang. kita harus menang !! link video :",Indonesia,2022-02-04 07:05:18
249,liputan6dotcom,"tingkat kesembuhan tinggi, pasien omicron covid-19 tanpa atau gejala ringan bisa isoman di rumah",,2022-02-04 07:05:05
250,irawatiputeri,mau bgt ke bali deh🥺 duh sebel omicron,,2022-02-04 07:04:39
251,bettercallcaul,udah kepikiran bakal makan ramen sama debora tapi omicron ganas bgt atut,,2022-02-04 07:04:39
252,rahmatkamaru,@ceceplagi yakin itu benar karena omicron?,,2022-02-04 07:04:17
253,Tandaseru_id,"kegiatan street race ditunda karena omicron meningkat, kapolda metro: kita ajak pembalap vaksin booster -",,2022-02-04 07:04:07
254,HajiUdi69068030,waspadai omicron,,2022-02-04 07:03:57
255,kepusingann,kenapa orang ke klinik padahal cuma pusing aja dibilang omicron? padahal kan darah rendah,she/they,2022-02-04 07:03:51
256,Asuhan1nfinitE,emang omicron ama delta bentuk tytydnya cemana siy? 😊,,2022-02-04 07:03:46
257,mas_wang12,@musniumar sweb ko bisa kelihatan omicron dasar  dosen gemblung,"Jawa Barat, Indonesia",2022-02-04 07:03:43
258,ErlanDAzis,"hari ini jadual kunjungan nakes ke rumah anak saya yg guru dan terpapar omicron. layanan kesehatan tangsel memang patut diacungi jempol. terima kasih buat nakes, sedangkan saya yg ortunya tdk berani menjenguk.","Jakarta, Indonesia",2022-02-04 07:03:42
259,Sonifernandoo,omicron omicron jembot wes kukutono kabeh ae tah pemerintah kontol.,"Lamongan, Indonesia",2022-02-04 07:03:16
260,CecepLagi,padahal untuk menentukan omicron atau bukan diperlukan tes paska pcr.  mutakhir beud alat antigen jaman ikn.,,2022-02-04 07:02:46
261,govinda_jaya_,"@d4tukt4mburin flu radang tenggorokan? omicron! alergi, tenggorokan gatel? omicron! bersin2 dan hidung mampet? ya omicron lah!",LA MER,2022-02-04 07:02:32
262,MahameruRi,"@oposisicerdas @kpk_ri mencrettt... bnyak cocot, gk ada urusan ama omicron.",,2022-02-04 07:02:20
263,RinaAwom,"demi keselamatan masyarakat, pemerintah kembali terapkan ppkm untuk menekan penyebaran covid varian omicron  prokes lindungi keluarga",,2022-02-04 07:02:12
264,RinaAwom,"demi keselamatan masyarakat, pemerintah kembali terapkan ppkm untuk menekan penyebaran covid varian omicron  prokes lindungi keluarga",,2022-02-04 07:02:10
265,ych_man,@musniumar kok swab antigen bisa ketahuan omicron pak..@musniumar ?  memang bisa ya dok @__sridiana_3va ?,,2022-02-04 07:01:39
266,RinaAwom,"pemerintah menjamin pelayanan kesehatan, ketersediaan obat dimasa meningkatnya varian omicron  prokes lindungi keluarga",,2022-02-04 07:01:32
267,RinaAwom,"pemerintah menjamin pelayanan kesehatan, ketersediaan obat dimasa meningkatnya varian omicron  prokes lindungi keluarga",,2022-02-04 07:01:31
268,otodriver,"kasus covid-19 naik, iims bisa saja diundur  jika kasus covid-19 varian omicron ini terus meningkat, maka pihak iims akan menjadwal ulang gelaran tahun ini. berikut tanggalnya",,2022-02-04 07:01:26
269,azkadotid,"omicron terus merebak, kemenkes: pasien positif covid-19 tanpa gejala cukup isoman",Sumenep,2022-02-04 07:01:15
270,rezapahlevie24,"jokowi ngebut naik motor melintasi danau toba, iwan fals: kayaknya presiden kita masa kecilnya kurang bahagia 🤭🤭🤭mau komen takut omicron",,2022-02-04 07:01:12
271,VICE_ID,"kebanyakan masker yang dijual di pasaran agak kendur, sehingga peneliti mengakali bagaimana caranya supaya masker bisa menutupi wajah tanpa celah.",Indonesia,2022-02-04 07:00:18
272,polisisijunjung,"cegah penyebaran omicron, kapolda sumbar ajak masyarakat perkuat 6m","Sijunjung, Indonesia",2022-02-04 07:00:17
273,AHayH_yatt,@musniumar dengan tes antigen apakah bisa langsung tau positif covid varian omicron?,"Kalimantan Barat, Indonesia",2022-02-04 07:00:08
274,irfan_bey24,@cnnindonesia oh ini yang katanya melindungi rakyat? di saat omicron naik tawaran stop ptm justru ditolak? ga ngambil pelajaran dari awal-awal pandemi 2020 lalu?,Indonesia,2022-02-04 07:00:05
275,RadioSmartFM,"presiden joko widodo angkat bicara soal lonjakan kasus virus corona yang terjadi beberapa waktu terakhir. ia meminta masyarakat tetap tenang. jokowi mengatakan, pasien omicron dapat disembuhkan tanpa harus ke rumah sakit.  #smartnews @kompascom",Jl. Kebahagiaan No.4-14Jakarta,2022-02-04 07:00:00
276,wildoodhehe,"@chipaxz aku ga percaya bakal sebulan doang sih wkwk. sma kaya corona awal, katanya 2 minggu eh malah 2 th. mna penularan omicron cpt bgtt",,2022-02-04 06:59:42
277,fabian_shakti,@desiyanti_ratna gw kate jg ape beberp minggu lalu. bhw tante delta tiba2 menghilang krn sdh dikawin sm omicron jd gak bebas mejeng dimana2.,,2022-02-04 06:59:28
278,Soulofjakarta,sobat souja! diet yang tepat bisa membantu anda membangun kekebalan tubuh terutama di masa pandemi saat ini. ada beberapa menu diet sehat lawan omicron yang bisa diterapkan. apa aja? check this out!---&gt;,Be The Souja,2022-02-04 06:59:07
279,rianntee,"lagi begini ada yang bertamu. haha mohon maaf gue cuekin. gila kali ya lagi omicron gini pake ngerokok pula di dalam rumah. daripada kesel, gue ngumpet di kamar, anjinglah sama sopan santun, tamunya aja gak sopan",,2022-02-04 06:58:52
280,aadduuyy_,@_yourbbystar enya kan omicron,grt,2022-02-04 06:58:23
281,FerriHananto,"@jokowi mantap bapak presiden,jangan takut omicron yang penting tetap waspada,demi rakyat agar bisa terbantu",,2022-02-04 06:58:18
282,Youniecho,"i just tested positive for omicron :) padahal udh beli tiket pesawat buat besok ke malang krn minggu dpn udh masuk kuliah huhu.  moots jaga kesehatan ya.. jangan lupa banyak minum air putih + vitamin, jangan keluar2 juga kalo emg ga mendesak.",,2022-02-04 06:57:58
283,IrawanNabiel,"aing ga nyesel cuman ambil 19 sks dan nyempetin banyak waktu buat main di awal2 semester buat ketemu temen2. sekarang balik full online, aing bisa fokus ngejar ketertinggalan materi &amp; fokus kuliah.  bismillah semoga omicron cepet selesai bisa beneran normal gaada varian baru lagi","ingin ke Uppsala, Sverige",2022-02-04 06:57:33
284,arsyakindo100,siswanya kena omicron...lalu sekolahnya ditutup.. kok gak tutup negaranya? #sebelum2024jokowilengser,Jawa Kita,2022-02-04 06:57:31
285,lonelynobodys,"@musniumar emang bisa ketahuan langsung varian omicron,,,,, 🤔🤔🤔",INDONESIA,2022-02-04 06:57:26
286,sastraui,"percakapan barusan di kantor  🧑🏻‍🦰 heh 🧑🏻 hmm 🧑🏻‍🦰 diem diem aj lu dari tadi, omicron lu? 🧑🏻 kagak [main hp] 🧑🏻‍🦰 sibuk apaan sih lu, kaga ada yg mau lu omongin apa? 🧑🏻 sebenernya ada sih, 🧑🏻‍🦰 apa tuch?? 🧑🏻 [menghela napas] 🧑🏻‍🦰 .... 🧑🏻 h-helicopter helicopterrr 🚁 🧑🏻‍🦰 ???????????????",jogja,2022-02-04 06:57:16
287,LIPUTAN_INDO,"jujur, siti fadilah : kasihan masyarakat jangan ditakut takuti #virus lagi, #covid-19 atau #corona varian #omicron terlalu #didramatisasi ""mati lo""",www.LiputanIndonesia.co.id,2022-02-04 06:57:07
288,luthsantoso,"ysh seluruh pendamping desa agar hadir dan mengikuti acara *webinar penanganan covid-19 varian omicron pada hari jumat 4 februari 2022 pukul 14.00 - 16.00 wib secara virtual, dengan tema  "" omicron, gejala dan cara penanganannya ""*",gedeg mojokerto,2022-02-04 06:56:49
289,PartaiSocmed,"pejabat itu pernah kena covid, lalu setelah sembuh dia membuat kebijakan yg mengorbankan banyak nyawa. sekarang dia tertular omicron..",Indonesia,2022-02-04 06:56:43
290,IrawanNabiel,"awal semester sebelum masuk, aing bilang omicron bakal cepet naik dan kuliah bakal balik full online.  offline di awal semester bakal aing manfaatin buat banyak2 ketemu temen &amp; orang-orang yang belom sempet ketemu selama 1.5 tahun.  awal februari omicron meledak.","ingin ke Uppsala, Sverige",2022-02-04 06:56:18
291,tribunambonnews,who minta negara-negara jangan buru-buru cabut pembatasan akibat tingginya angka kasus omicron,Ambon,2022-02-04 06:56:18
292,luthsantoso,ikuti webinar penanganan covid 19varian omicron #covid19 @jokowi @halimiskandarnu @kemendespdtt @ari_asharie  @mift4hulmunir @gosbrodhen_73 @rizahisfani @makinun17 @belladonnasara1 @sukmoazmil @faridazh1,gedeg mojokerto,2022-02-04 06:55:59
293,ranggaradithia,"@catatan_ali7 @msaid_didu ini (amit2) kalo omicron ga terkendali, nasib formula e &amp; motogp bakal jadi bahan gurih untuk digoreng &amp; di""giring"".. 😁✌",,2022-02-04 06:55:56
294,HRDWBSN,@bayhahahaqi ketemuan lagi lah abis omicron ini,,2022-02-04 06:55:43
295,f3bruarywinn3r,"@schfess kok kek gejala omicron ya? stay safe nder, banyak minum air putih banyak istirahat",,2022-02-04 06:55:37
296,yohana97702180,"demi keselamatan masyarakat, pemerintah kembali terapkan ppkm untuk menekan penyebaran covid varian omicron  prokes lindungi keluarga",,2022-02-04 06:55:29
297,yohana97702180,"demi keselamatan masyarakat, pemerintah kembali terapkan ppkm untuk menekan penyebaran covid varian omicron  prokes lindungi keluarga",,2022-02-04 06:55:27
298,hekahert,untuk kasus #covid19 dengan gejala ringan harus melakukan isolasi selama 10 hari sejak muncul gejala ditambah setidaknya 3 hari bebas gejala demam dan gangguan pernapasan.,Indonesia,2022-02-04 06:55:25
299,Oprint1,"@jawapos terus, omicron keburu masuk, ya?",,2022-02-04 06:55:08
300,Sashahalv,@889salmen @oktaviamanroe 🤣🤣 belum tau bisa mudik kapan. belum libur kerjaan plus masih omicron dan ga mau karantina kelamaan 😭😭. biasanya sih banyak yg titip termasuk kadang peralatan naik gunung.,norway,2022-02-04 06:55:08
301,yohana97702180,"pemerintah menjamin pelayanan kesehatan, ketersediaan obat dimasa meningkatnya varian omicron  prokes lindungi keluarga",,2022-02-04 06:55:04
302,emrhmzhssgf,pengen nonton reality club tapi lagi naik si omicron,Kota Kembang,2022-02-04 06:55:03
303,yohana97702180,"pemerintah menjamin pelayanan kesehatan, ketersediaan obat dimasa meningkatnya varian omicron  prokes lindungi keluarga",,2022-02-04 06:55:02
304,EcureH,"omicron variant : ""ha main de dunga, tu tension mat le🤣🤣  @amangupta0303 @sharktankindia_ @namitathapar @ashneer_grover @anupammittal #medtwitter",Varanasi,2022-02-04 06:54:30
305,Estri89393376,webinar penanganan covid-19 varian omicron @jokowi @halimiskandarnu @kemendesapdtt  @malik_haramain @imansyukri @taufikmadjid71 @tppkemendes  @murtodo68  @p3mdsleman,,2022-02-04 06:54:13
306,lawjusticeco,who sebut varian omicron penanda pandemi covid-19 jelang tamat,"Jakarta, Indonesia",2022-02-04 06:54:04
307,republikaonline,india kini berada di tengah gelombang ketiga corona yang dipicu oleh varian omicron.,"Jakarta, Indonesia",2022-02-04 06:54:01
